,p_low,entropy_max,area_max,alpha,accuracy_conf,inconclusive_rate,precision_conf,recall_conf,f1_conf,counts_neg,counts_pos,counts_inc
240,0.2,3.8,0.2,0.3,0.6926406926406926,0.538,0.4606741573033708,0.640625,0.5359477124183006,142,89,269
241,0.2,3.8,0.2,0.4,0.6741573033707865,0.466,0.488,0.7261904761904762,0.583732057416268,142,125,233
242,0.2,3.8,0.2,0.5,0.7062314540059347,0.326,0.6102564102564103,0.8380281690140845,0.7062314540059347,142,195,163
243,0.2,3.8,0.2,0.6,0.7534562211981567,0.132,0.7123287671232876,0.9004329004329005,0.7954110898661568,142,292,66
244,0.2,3.8,0.2,0.7,0.7789046653144016,0.014,0.7549857549857549,0.9201388888888888,0.8294209702660407,142,351,7
245,0.2,3.8,0.15,0.3,0.7435897435897436,0.61,0.49056603773584906,0.5306122448979592,0.5098039215686274,142,53,305
246,0.2,3.8,0.15,0.4,0.6853448275862069,0.536,0.4444444444444444,0.6349206349206349,0.5228758169934641,142,90,268
247,0.2,3.8,0.15,0.5,0.674074074074074,0.46,0.4921875,0.7325581395348837,0.5887850467289719,142,128,230
248,0.2,3.8,0.15,0.6,0.7026239067055393,0.314,0.6069651741293532,0.8413793103448276,0.7052023121387283,142,201,157
249,0.2,3.8,0.15,0.7,0.7687224669603524,0.092,0.7371794871794872,0.9090909090909091,0.8141592920353983,142,312,46
250,0.22,2.2,,0.3,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
251,0.22,2.2,,0.4,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
252,0.22,2.2,,0.5,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
253,0.22,2.2,,0.6,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
254,0.22,2.2,,0.7,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
255,0.22,2.2,0.3,0.3,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
256,0.22,2.2,0.3,0.4,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
257,0.22,2.2,0.3,0.5,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
258,0.22,2.2,0.3,0.6,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
259,0.22,2.2,0.3,0.7,0.7619047619047619,0.622,0.5,0.4,0.4444444444444444,153,36,311
